name;chrom;strand;txStart;txEnd;exonCount;name2;Length;Name3
NM_152450;chr15;+;59730371;59815751;9;FAM81A;85380;FAM81A
NM_152548;chr5;+;94727047;94786144;10;FAM81B;59097;FAM81B
NM_207006;chr8;+;124191286;124222319;6;FAM83A;31033;FAM83A
NR_024479;chr8;-;124213411;124214983;3;FAM83A-AS1;1572;FAM83A-AS1
NM_001010872;chr6;+;54711568;54809897;5;FAM83B;98329;FAM83B
NM_178468;chr20;-;33873533;33880225;4;FAM83C;6692;FAM83C
NR_109815;chr20;+;33873053;33873575;2;FAM83C-AS1;522;FAM83C-AS1
NM_030919;chr20;+;37554954;37581703;4;FAM83D;26749;FAM83D
NM_017708;chr19;-;49103856;49116694;5;FAM83E;12838;FAM83E
NM_138435;chr22;+;40390952;40426043;5;FAM83F;35091;FAM83F
NM_001039999;chr17;-;18874380;18908060;6;FAM83G;33680;FAM83G
NM_198488;chr8;-;144806102;144815914;5;FAM83H;9812;FAM83H
NR_033849;chr8;+;144816309;144828507;4;FAM83H-AS1;12198;FAM83H-AS1
NM_145175;chr2;+;14772809;14780168;2;FAM84A;7359;FAM84A
NM_174911;chr8;-;127564682;127570711;2;FAM84B;6029;FAM84B
NM_201598;chr16;-;5134300;5147821;7;FAM86A;13521;FAM86A
NM_001083537;chr8;-;12039612;12051624;7;FAM86B1;12012;FAM86B1
NM_001137610;chr8;-;12283123;12293852;8;FAM86B2;10729;FAM86B2
NR_024361;chr8;+;8086091;8102387;9;FAM86B3P;16296;FAM86B3P
NM_152563;chr11;+;71498556;71512280;4;FAM86C1;13724;FAM86C1
NR_024249;chr11;-;67559237;67572807;4;FAM86C2P;13570;FAM86C2P
NR_024241;chr3;-;75470702;75484266;8;FAM86DP;13564;FAM86DP
NR_024253;chr4;-;3943668;3957148;6;FAM86EP;13480;FAM86EP
NR_024254;chr12;-;8383644;8395542;5;FAM86FP;11898;FAM86FP
NR_024252;chr3;-;129816624;129830276;5;FAM86HP;13652;FAM86HP
NR_024251;chr3;+;125635443;125648867;5;FAM86JP;13424;FAM86JP
NR_103537;chr8;-;325930;333174;4;FAM87A;7244;FAM87A
NR_103536;chr1;+;752750;755214;2;FAM87B;2464;FAM87B
NM_198552;chr1;-;231154703;231175995;2;FAM89A;21292;FAM89A
NM_152832;chr11;+;65339819;65341669;2;FAM89B;1850;FAM89B
NM_016255;chr6;+;17600517;17611950;5;FAM8A1;11433;FAM8A1
NM_018088;chr12;-;8373855;8380214;7;FAM90A1;6359;FAM90A1
NR_046351;chr8;+;7627105;7628835;3;FAM90A10P;1730;FAM90A10P
NR_073395;chr8;-;12272029;12275541;4;FAM90A25P;3512;FAM90A25P
NR_046365;chr19;+;53785542;53787602;3;FAM90A27P;2060;FAM90A27P
NR_046354;chr8;-;12030962;12034776;5;FAM90A2P;3814;FAM90A2P
NR_046343;chr8;-;7421309;7431920;3;FAM90A7P;10611;FAM90A7P
NM_144963;chr8;+;124780881;124827690;24;FAM91A1;46809;FAM91A1
NM_145269;chr8;+;94712734;94741478;8;FAM92A1;28744;FAM92A1
NR_003612;chr4;+;183958817;183961272;1;FAM92A1P2;2455;FAM92A1P2
NM_198491;chr16;-;85131964;85146114;8;FAM92B;14150;FAM92B
NR_038409;chr2;-;95421070;95426929;3;FAM95A;5859;FAM95A
NR_026759;chr9;+;42468588;42474238;5;FAM95B1;5650;FAM95B1
NR_047651;chr9;-;38540563;38545369;3;FAM95C;4806;FAM95C
NM_032231;chr15;-;64364757;64386207;5;FAM96A;21450;FAM96A
NM_016062;chr16;-;66965957;66968326;5;FAM96B;2369;FAM96B
NM_015475;chr2;-;33808728;33824362;8;FAM98A;15634;FAM98A
NM_173611;chr15;+;38746327;38779911;8;FAM98B;33584;FAM98B
NM_174905;chr19;+;38893774;38899728;8;FAM98C;5954;FAM98C
NR_026643;chr11;+;1686828;1689086;3;FAM99A;2258;FAM99A
NR_026642;chr11;-;1704499;1706859;3;FAM99B;2360;FAM99B
NM_174951;chrX;-;8758836;8769424;10;FAM9A;10588;FAM9A
NM_205849;chrX;-;8993036;9001116;8;FAM9B;8080;FAM9B
NM_174901;chrX;-;13053735;13062917;8;FAM9C;9182;FAM9C
NM_014967;chr15;+;31196075;31235310;15;FAN1;39235;FAN1
NM_000135;chr16;-;89803958;89883065;43;FANCA;79107;FANCA
NM_001018113;chrX;-;14861528;14891184;10;FANCB;29656;FANCB
NM_000136;chr9;-;97861335;98079991;15;FANCC;218656;FANCC
NM_001018115;chr3;+;10068112;10143614;44;FANCD2;75502;FANCD2
NM_173472;chr3;-;10123003;10149915;3;FANCD2OS;26912;FANCD2OS
NM_021922;chr6;+;35420137;35434881;10;FANCE;14744;FANCE
NM_022725;chr11;-;22644078;22647387;1;FANCF;3309;FANCF
NM_004629;chr9;-;35073834;35080013;14;FANCG;6179;FANCG
NM_018193;chr15;+;89787193;89860362;37;FANCI;73169;FANCI
NM_001114636;chr2;-;58386377;58468515;14;FANCL;82138;FANCL
NM_020937;chr14;+;45605135;45670093;23;FANCM;64958;FANCM
NM_145235;chr10;+;127585107;127698161;11;FANK1;113054;FANK1
NR_102707;chr10;-;127660756;127661842;4;FANK1-AS1;1086;FANK1-AS1
NM_004460;chr2;-;163027199;163100045;26;FAP;72846;FAP
NM_032228;chr11;+;13690205;13753893;12;FAR1;63688;FAR1
NM_001271783;chr12;+;29301935;29488549;12;FAR2;186614;FAR2
NR_026758;chr2;-;130783571;130808704;12;FAR2P1;25133;FAR2P1
NR_046259;chr2;-;131174325;131186119;5;FAR2P2;11794;FAR2P2
NM_001286839;chr13;+;98794815;99102027;28;FARP1;307212;FARP1
NM_014808;chr2;+;242295663;242434257;27;FARP2;138594;FARP2
NM_006567;chr6;+;5261583;5771816;7;FARS2;510233;FARS2
NM_004461;chr19;-;13033283;13044558;13;FARSA;11275;FARSA
NM_005687;chr2;-;223436161;223520827;17;FARSB;84666;FARSB
NR_028036;chr10;+;90750287;90775542;8;FAS;25255;FAS
NR_028371;chr10;-;90751180;90752732;1;FAS-AS1;1552;FAS-AS1
NM_000639;chr1;+;172628184;172636012;4;FASLG;7828;FASLG
NM_004104;chr17;-;80036213;80056106;43;FASN;19893;FASN
NM_001258461;chr7;-;150773707;150777970;10;FASTK;4263;FASTK
NM_024622;chr2;-;170386261;170430431;15;FASTKD1;44170;FASTKD1
NM_014929;chr2;+;207630111;207660911;12;FASTKD2;30800;FASTKD2
NM_024091;chr5;-;7859271;7869150;7;FASTKD3;9879;FASTKD3
NM_021826;chr20;-;3127164;3140532;2;FASTKD5;13368;FASTKD5
NM_005245;chr4;-;187508936;187644987;27;FAT1;136051;FAT1
NM_001447;chr5;-;150883652;150948505;23;FAT2;64853;FAT2
NM_001008781;chr11;+;92085261;92629635;25;FAT3;544374;FAT3
NM_024582;chr4;+;126237566;126414087;17;FAT4;176521;FAT4
NM_033085;chrX;+;150884507;150891664;5;FATE1;7157;FATE1
NM_001997;chr11;-;64888098;64889672;5;FAU;1574;FAU
NM_032511;chr6;-;99720792;99797531;6;FAXC;76739;FAXC
NM_032385;chr5;-;154198051;154230213;9;FAXDC2;32162;FAXDC2
NM_001080542;chr17;-;73906617;73937119;29;FBF1;30502;FBF1
NM_001436;chr19;-;40325092;40337054;9;FBL;11962;FBL
NM_017556;chr1;+;16085254;16113084;9;FBLIM1;27830;FBLIM1
NR_024356;chr5;+;167956581;167957639;1;FBLL1;1058;FBLL1
NM_006486;chr22;+;45898718;45997014;17;FBLN1;98296;FBLN1
NM_001998;chr3;+;13590624;13679922;17;FBLN2;89298;FBLN2
NM_006329;chr14;-;92335754;92414046;11;FBLN5;78292;FBLN5
NM_001128165;chr2;+;112895961;112945791;7;FBLN7;49830;FBLN7
NM_000138;chr15;-;48700502;48937985;66;FBN1;237483;FBN1
NM_001999;chr5;-;127593600;127873735;65;FBN2;280135;FBN2
NM_032447;chr19;-;8130286;8212385;63;FBN3;82099;FBN3
NM_001127628;chr9;-;97365420;97402531;8;FBP1;37111;FBP1
NM_003837;chr9;-;97320995;97356114;7;FBP2;35119;FBP2
NM_001105079;chr16;+;30675777;30682131;12;FBRS;6354;FBRS
NM_001142641;chr12;+;133067156;133161773;17;FBRSL1;94617;FBRSL1
NM_017703;chr19;-;9920942;9929731;3;FBXL12;8789;FBXL12
NM_001111038;chr7;-;102453307;102715288;19;FBXL13;261981;FBXL13
NM_152441;chr12;-;1675158;1703331;2;FBXL14;28173;FBXL14
NM_024326;chr10;+;104179570;104182893;4;FBXL15;3323;FBXL15
NM_153350;chr16;-;742499;755825;6;FBXL16;13326;FBXL16
NM_001163315;chr5;-;107194733;107717799;9;FBXL17;523066;FBXL17
NM_024963;chr7;-;5515427;5553399;5;FBXL18;37972;FBXL18
NM_001282351;chr16;+;30934375;30960104;11;FBXL19;25729;FBXL19
NR_024348;chr16;-;30930639;30934590;1;FBXL19-AS1;3951;FBXL19-AS1
NM_012157;chr3;+;33318933;33428757;15;FBXL2;109824;FBXL2
NM_001184906;chr17;-;37408896;37557909;14;FBXL20;149013;FBXL20
NM_012159;chr5;+;135266005;135277367;8;FBXL21;11362;FBXL21
NM_203373;chr15;+;63889551;63894620;2;FBXL22;5069;FBXL22
NM_012158;chr13;-;77579388;77601331;5;FBXL3;21943;FBXL3
NM_012160;chr6;-;99321600;99395882;9;FBXL4;74282;FBXL4
NM_001193534;chr4;-;15606006;15657035;11;FBXL5;51029;FBXL5
NM_024555;chr8;-;145579087;145582183;9;FBXL6;3096;FBXL6
NM_012304;chr5;+;15500304;15939905;4;FBXL7;439601;FBXL7
NM_018378;chr16;+;67193890;67198077;3;FBXL8;4187;FBXL8
NM_012166;chr9;-;37510888;37576250;11;FBXO10;65362;FBXO10
NM_001190274;chr2;-;48034058;48132932;23;FBXO11;98874;FBXO11
NM_001142958;chr18;-;71740587;71815100;10;FBXO15;74513;FBXO15
NM_001258211;chr8;-;28285925;28347835;8;FBXO16;61910;FBXO16
NR_104026;chr19;-;39432040;39466453;6;FBXO17;34413;FBXO17
NM_001258452;chr10;+;5931534;5979558;22;FBXO18;48024;FBXO18
NM_012168;chr1;-;11708417;11714888;6;FBXO2;6471;FBXO2
NM_015002;chr12;-;117581584;117628300;12;FBXO21;46716;FBXO21
NR_037623;chr15;+;76196199;76227608;6;FBXO22;31409;FBXO22
NR_003136;chr15;-;76225023;76225471;1;FBXO22-AS1;448;FBXO22-AS1
NM_033506;chr7;+;100183955;100198740;10;FBXO24;14785;FBXO24
NM_183421;chr8;+;356807;419875;11;FBXO25;63068;FBXO25
NM_178820;chr19;-;39514662;39523198;6;FBXO27;8536;FBXO27
NR_049764;chr1;+;224301788;224349749;4;FBXO28;47961;FBXO28
NM_012175;chr11;-;33762489;33796071;11;FBXO3;33582;FBXO3
NM_032145;chr6;-;146119271;146135921;3;FBXO30;16650;FBXO30
NM_001282683;chr16;-;87360592;87425713;10;FBXO31;65121;FBXO31
NM_001242463;chr8;-;124510126;124553493;7;FBXO32;43367;FBXO32
NM_203301;chr14;-;39865576;39901704;4;FBXO33;36128;FBXO33
NM_017943;chr14;+;55738020;55820329;2;FBXO34;82309;FBXO34
NM_174899;chr2;+;230787206;230877825;4;FBXO36;90619;FBXO36
NM_030793;chr5;+;147763497;147822399;22;FBXO38;58902;FBXO38
NM_153230;chr17;+;6679551;6690965;4;FBXO39;11414;FBXO39
NM_012176;chr5;+;41925355;41941672;7;FBXO4;16317;FBXO4
NM_016298;chr3;+;121312169;121349139;4;FBXO40;36970;FBXO40
NM_001080410;chr2;-;73481809;73496758;12;FBXO41;14949;FBXO41
NM_018994;chr1;-;16576558;16678948;10;FBXO42;102390;FBXO42
NM_001029860;chr8;-;101145587;101158099;5;FBXO43;12512;FBXO43
NM_183412;chr1;+;11714431;11723384;5;FBXO44;8953;FBXO44
NM_001105573;chr3;+;196295724;196315930;3;FBXO45;20206;FBXO45
NM_001080469;chr19;-;46213886;46234151;2;FBXO46;20265;FBXO46
NM_001008777;chr17;-;37092684;37123655;11;FBXO47;30971;FBXO47
NM_001024680;chr2;-;68689504;68694390;4;FBXO48;4886;FBXO48
NM_001142522;chr6;-;153291657;153304740;5;FBXO5;13083;FBXO5
NM_018438;chr1;+;11724149;11734409;6;FBXO6;10260;FBXO6
NM_012179;chr22;+;32870706;32894818;9;FBXO7;24112;FBXO7
NM_012180;chr4;-;175157809;175205402;6;FBXO8;47593;FBXO8
NM_033481;chr6;+;52929795;52965670;13;FBXO9;35875;FBXO9
NM_001267585;chr17;+;18647325;18682662;14;FBXW10;35337;FBXW10
NM_033645;chr5;-;171288555;171433877;12;FBXW11;145322;FBXW11
NM_207102;chr3;+;48413708;48436190;11;FBXW12;22482;FBXW12
NM_012164;chr9;-;123519253;123555740;8;FBXW2;36487;FBXW2
NM_022039;chr10;-;103370420;103454743;9;FBXW4;84323;FBXW4
NR_033408;chr22;+;23604953;23607186;1;FBXW4P1;2233;FBXW4P1
NM_018998;chr9;-;139834884;139839206;9;FBXW5;4322;FBXW5
NM_033632;chr4;-;153242409;153456185;12;FBXW7;213776;FBXW7
NM_012174;chr12;+;117348760;117468953;11;FBXW8;120193;FBXW8
NM_032301;chr19;-;12799729;12807455;10;FBXW9;7726;FBXW9
NM_001122979;chr1;-;207131311;207143970;8;FCAMR;12659;FCAMR
NM_002000;chr19;+;55385548;55401839;5;FCAR;16291;FCAR
NM_002001;chr1;+;159259503;159278014;6;FCER1A;18511;FCER1A
NM_004106;chr1;+;161185086;161189038;5;FCER1G;3952;FCER1G
NM_002002;chr19;-;7753642;7767032;11;FCER2;13390;FCER2
NM_015962;chr14;+;75179849;75203390;8;FCF1;23541;FCF1
NM_003890;chr19;-;40353962;40440533;36;FCGBP;86571;FCGBP
NM_000566;chr1;+;149754249;149764074;6;FCGR1A;9825;FCGR1A
NR_045213;chr1;-;120926127;120935944;6;FCGR1B;9817;FCGR1B
NR_027484;chr1;+;149369293;149378303;7;FCGR1C;9010;FCGR1C
NM_021642;chr1;+;161475204;161489360;7;FCGR2A;14156;FCGR2A
NM_001190828;chr1;+;161632904;161648444;7;FCGR2B;15540;FCGR2B
NR_047648;chr1;+;161551128;161571010;7;FCGR2C;19882;FCGR2C
NM_001127595;chr1;-;161511550;161520413;6;FCGR3A;8863;FCGR3A
NM_000570;chr1;-;161592987;161601753;6;FCGR3B;8766;FCGR3B
NM_001136019;chr19;+;50015535;50029685;7;FCGRT;14150;FCGRT
NM_001161358;chr19;+;17858526;17899377;28;FCHO1;40851;FCHO1
NM_001146032;chr5;+;72251807;72386349;25;FCHO2;134542;FCHO2
NM_033449;chr5;-;141018868;141030986;20;FCHSD1;12118;FCHSD1
NM_014824;chr11;-;72547789;72853143;20;FCHSD2;305354;FCHSD2
NM_002003;chr9;-;137801430;137809806;9;FCN1;8376;FCN1
NM_015837;chr9;+;137772657;137779366;7;FCN2;6709;FCN2
NM_003665;chr1;-;27695600;27701315;8;FCN3;5715;FCN3
NM_001159398;chr1;-;157764193;157789940;11;FCRL1;25747;FCRL1
NM_030764;chr1;-;157715522;157746922;12;FCRL2;31400;FCRL2
NM_052939;chr1;-;157647977;157670647;15;FCRL3;22670;FCRL3
NM_031282;chr1;-;157543538;157567870;12;FCRL4;24332;FCRL4
NM_031281;chr1;-;157483166;157522310;17;FCRL5;39144;FCRL5
NM_001284217;chr1;+;159770300;159786047;11;FCRL6;15747;FCRL6
NM_001184871;chr1;+;161676761;161684142;2;FCRLA;7381;FCRLA
NM_001002901;chr1;+;161691333;161697933;8;FCRLB;6600;FCRLB
NM_152997;chr4;+;71091787;71100968;5;FDCSP;9181;FDCSP
NM_001287743;chr8;+;11653081;11696818;9;FDFT1;43737;FDFT1
NM_001135822;chr1;+;155278538;155290457;10;FDPS;11919;FDPS
NR_003262;chr7;-;76099336;76104317;1;FDPSP2;4981;FDPSP2
NM_004109;chr11;+;110300660;110335608;4;FDX1;34948;FDX1
NM_001031734;chr19;-;10420890;10426691;5;FDX1L;5801;FDX1L
NR_038364;chr11;-;111744779;111750181;4;FDXACB1;5402;FDXACB1
NM_004110;chr17;-;72858618;72869156;12;FDXR;10538;FDXR
NM_000140;chr18;-;55212072;55253969;11;FECH;41897;FECH
NM_018708;chr19;+;4791727;4795571;1;FEM1A;3844;FEM1A
NM_015322;chr15;+;68570140;68588203;2;FEM1B;18063;FEM1B
NM_020177;chr5;-;114856607;114880591;3;FEM1C;23984;FEM1C
NM_004111;chr11;+;61560108;61564714;2;FEN1;4606;FEN1
NR_033925;chr16;-;86508130;86542466;4;FENDRR;34336;FENDRR
NM_005246;chr5;+;108083522;108523373;20;FER;439851;FER
NM_001113382;chr2;+;97308573;97370624;52;FER1L5;62051;FER1L5
NM_001039112;chr8;+;124864226;125132302;41;FER1L6;268076;FER1L6
NR_040044;chr8;-;124996377;125053023;6;FER1L6-AS1;56646;FER1L6-AS1
NR_103547;chr8;-;125058311;125183763;5;FER1L6-AS2;125452;FER1L6-AS2
NM_152898;chr7;-;19184404;19185044;1;FERD3L;640;FERD3L
NM_017671;chr20;-;6055491;6104191;15;FERMT1;48700;FERMT1
NM_001134999;chr14;-;53323988;53417815;16;FERMT2;93827;FERMT2
NM_031471;chr11;+;63974151;63991363;15;FERMT3;17212;FERMT3
NM_001143785;chr15;+;91427664;91439006;17;FES;11342;FES
NM_014375;chr3;+;186358148;186370797;7;FETUB;12649;FETUB
NM_017521;chr2;-;219845808;219850379;3;FEV;4571;FEV
NM_005103;chr11;-;125315640;125366206;10;FEZ1;50566;FEZ1
NM_005102;chr2;-;36779403;36825332;8;FEZ2;45929;FEZ2
NM_001024613;chr7;-;121941447;121944565;4;FEZF1;3118;FEZF1
NR_036484;chr7;+;121943711;121950131;7;FEZF1-AS1;6420;FEZF1-AS1
NM_018008;chr3;-;62355346;62359190;5;FEZF2;3844;FEZF2
NM_005303;chr19;+;35842444;35843367;1;FFAR1;923;FFAR1
NM_005306;chr19;+;35940616;35942669;1;FFAR2;2053;FFAR2
NM_005304;chr19;+;35849487;35851389;2;FFAR3;1902;FFAR3
NM_001195755;chr10;+;95326421;95349829;3;FFAR4;23408;FFAR4
NM_000508;chr4;-;155504279;155511897;6;FGA;7618;FGA
NM_005141;chr4;+;155484131;155493915;8;FGB;9784;FGB
NM_004463;chrX;-;54471886;54522599;18;FGD1;50713;FGD1
NM_173558;chr6;+;36973422;36996845;16;FGD2;23423;FGD2
NM_001083536;chr9;+;95709600;95798518;18;FGD3;88918;FGD3
NM_139241;chr12;+;32655040;32798984;17;FGD4;143944;FGD4
NM_152536;chr3;+;14860468;14976072;20;FGD5;115604;FGD5
NR_046251;chr3;-;14984285;14989948;2;FGD5-AS1;5663;FGD5-AS1
NR_036481;chr3;+;13974552;13978444;2;FGD5P1;3892;FGD5P1
NM_018351;chr12;-;95470524;95611240;21;FGD6;140716;FGD6
NM_001257206;chr5;-;141971742;142077635;4;FGF1;105893;FGF1
NM_004465;chr5;-;44305096;44388784;3;FGF10;83688;FGF10
NR_108034;chr5;+;44388833;44414091;3;FGF10-AS1;25258;FGF10-AS1
NM_004112;chr17;+;7342688;7348251;5;FGF11;5563;FGF11
NM_004113;chr3;-;191857181;192445388;6;FGF12;588207;FGF12
NM_001139500;chrX;-;137713733;138287185;7;FGF13;573452;FGF13
NR_038405;chrX;+;137794268;137798763;3;FGF13-AS1;4495;FGF13-AS1
NM_175929;chr13;-;102373204;103054124;5;FGF14;680920;FGF14
NR_036487;chr13;+;103046927;103048055;1;FGF14-AS2;1128;FGF14-AS2
NR_036486;chr13;-;102944669;103046869;4;FGF14-IT1;102200;FGF14-IT1
NM_003868;chrX;+;76709646;76712013;2;FGF16;2367;FGF16
NM_003867;chr8;+;21900427;21906319;5;FGF17;5892;FGF17
NM_003862;chr5;+;170846666;170884630;5;FGF18;37964;FGF18
NM_005117;chr11;-;69513005;69519106;3;FGF19;6101;FGF19
NM_002006;chr4;+;123747862;123819390;3;FGF2;71528;FGF2
NM_019851;chr8;-;16850333;16859674;3;FGF20;9341;FGF20
NM_019113;chr19;+;49259343;49261582;3;FGF21;2239;FGF21
NM_020637;chr19;+;639925;643604;3;FGF22;3679;FGF22
NM_020638;chr12;-;4477392;4488894;3;FGF23;11502;FGF23
NM_005247;chr11;-;69624735;69634192;3;FGF3;9457;FGF3
NM_002007;chr11;-;69587796;69590171;3;FGF4;2375;FGF4
NM_033143;chr4;+;81187741;81212171;2;FGF5;24430;FGF5
NM_020996;chr12;-;4543307;4554780;3;FGF6;11473;FGF6
NM_002009;chr15;+;49715374;49779523;4;FGF7;64149;FGF7
NM_001206389;chr10;-;103529886;103540126;5;FGF8;10240;FGF8
NM_002010;chr13;+;22245214;22278640;3;FGF9;33426;FGF9
NM_005130;chr4;-;15937192;15940363;3;FGFBP1;3171;FGFBP1
NM_031950;chr4;-;15961862;15964859;2;FGFBP2;2997;FGFBP2
NM_152429;chr10;-;93666344;93669258;2;FGFBP3;2914;FGFBP3
NM_023110;chr8;-;38268655;38326352;18;FGFR1;57697;FGFR1
NM_194429;chr6;+;167412804;167455906;12;FGFR1OP;43102;FGFR1OP
NM_001171887;chr12;+;27091304;27119581;6;FGFR1OP2;28277;FGFR1OP2
NM_000141;chr10;-;123237843;123357972;18;FGFR2;120129;FGFR2
NM_022965;chr4;+;1795038;1810599;16;FGFR3;15561;FGFR3
NM_002011;chr5;+;176513920;176525126;18;FGFR4;11206;FGFR4
NM_001004356;chr4;+;1005609;1020686;7;FGFRL1;15077;FGFRL1
NM_000509;chr4;-;155525285;155533902;10;FGG;8617;FGG
NM_001113411;chr1;+;59762624;60228402;17;FGGY;465778;FGGY
NM_201552;chr8;-;17721899;17753047;9;FGL1;31148;FGL1
NM_006682;chr7;-;76822687;76829150;2;FGL2;6463;FGL2
NM_005248;chr1;-;27938800;27961727;13;FGR;22927;FGR
NM_000143;chr1;-;241660856;241683085;10;FH;22229;FH
NM_052929;chr1;+;15573767;15724622;31;FHAD1;150855;FHAD1
NM_033393;chr4;+;153864134;153900848;11;FHDC1;36714;FHDC1
NM_002012;chr3;-;59735035;61237133;10;FHIT;1502098;FHIT
NR_027621;chrX;+;135228860;135293518;7;FHL1;64658;FHL1
NM_201557;chr2;-;105977282;106055230;6;FHL2;77948;FHL2
NM_001243878;chr1;-;38462441;38471187;5;FHL3;8746;FHL3
NM_020482;chr6;+;97010423;97064512;7;FHL5;54089;FHL5
NM_013241;chr16;-;67263291;67281425;22;FHOD1;18134;FHOD1
NM_025135;chr18;+;33877658;34360022;25;FHOD3;482364;FHOD3
NM_001145106;chr9;-;133777824;133814455;8;FIBCD1;36631;FIBCD1
NM_203371;chr11;+;27015627;27018632;1;FIBIN;3005;FIBIN
NM_198897;chr11;-;65651210;65656010;10;FIBP;4800;FIBP
NM_007076;chr12;+;108909050;108913380;3;FICD;4330;FICD
NM_014845;chr6;+;110012423;110146634;23;FIG4;134211;FIG4
NM_004469;chrX;-;15363712;15402535;7;FIGF;38823;FIGF
NM_001004311;chr2;-;71004441;71017775;5;FIGLA;13334;FIGLA
NM_018086;chr2;-;164464117;164592513;3;FIGN;128396;FIGN
NM_022116;chr7;-;50511826;50518088;4;FIGNL1;6262;FIGNL1
NM_001013690;chr12;-;52211675;52225701;2;FIGNL2;14026;FIGNL2
NM_001289987;chr6;-;76017799;76203545;7;FILIP1;185746;FILIP1
NM_182909;chr3;-;99551987;99833357;6;FILIP1L;281370;FILIP1L
NM_001134937;chr4;+;54243819;54326103;18;FIP1L1;82284;FIP1L1
NR_026975;chrX;-;130836677;130964671;13;FIRRE;127994;FIRRE
NM_016068;chr7;-;100882892;100888371;5;FIS1;5479;FIS1
NM_203402;chr14;+;24600674;24602058;2;FITM1;1384;FITM1
NM_001080472;chr20;-;42935196;42939889;2;FITM2;4693;FITM2
NM_032836;chr19;-;56102736;56110893;3;FIZ1;8157;FIZ1
NM_014344;chr11;+;35639734;35642421;1;FJX1;2687;FJX1
NM_021939;chr17;+;39968961;39979469;10;FKBP10;10508;FKBP10
NM_016594;chr12;-;49315741;49319330;6;FKBP11;3589;FKBP11
NM_017946;chr7;-;30050198;30066417;4;FKBP14;16219;FKBP14
NM_015258;chr9;-;115927799;115983641;28;FKBP15;55842;FKBP15
NM_001199786;chr20;-;1349620;1373816;4;FKBP1A;24196;FKBP1A
NR_024162;chr19;-;58336666;58338830;2;FKBP1AP1;2164;FKBP1AP1
NR_037661;chr20;-;1290554;1373816;10;FKBP1A-SDCBP2;83262;FKBP1A-SDCBP2
NM_054033;chr2;+;24272583;24286550;4;FKBP1B;13967;FKBP1B
NM_004470;chr11;+;64008412;64011607;6;FKBP2;3195;FKBP2
NM_002013;chr14;-;45584801;45603732;7;FKBP3;18931;FKBP3
NM_002014;chr12;+;2904107;2914587;10;FKBP4;10480;FKBP4
NM_001145775;chr6;-;35541361;35696360;12;FKBP5;154999;FKBP5
NM_001135211;chr7;+;72742154;72772646;9;FKBP6;30492;FKBP6
NM_001135212;chr2;-;179328390;179343355;4;FKBP7;14965;FKBP7
NM_012181;chr19;-;18642567;18654383;9;FKBP8;11816;FKBP8
NM_007270;chr7;+;32997015;33046543;10;FKBP9;49528;FKBP9
NR_003949;chr7;-;55748766;55772260;6;FKBP9L;23494;FKBP9L
NM_022110;chr6;-;32096483;32098067;2;FKBPL;1584;FKBPL
NM_024301;chr19;+;47249302;47261832;4;FKRP;12530;FKRP
NR_024013;chr13;+;100003673;100004281;1;FKSG29;608;FKSG29
NM_006731;chr9;+;108320410;108403399;10;FKTN;82989;FKTN
NM_201398;chr1;+;154955769;154965587;8;FLAD1;9818;FLAD1
NM_144997;chr17;-;17115526;17140502;14;FLCN;24976;FLCN
NM_002016;chr1;-;152274650;152297679;3;FLG;23029;FLG
NM_001014342;chr1;-;152321212;152332482;3;FLG2;11270;FLG2
NR_103778;chr1;+;152285934;152339168;7;FLG-AS1;53234;FLG-AS1
NM_001271012;chr11;+;128556429;128683162;7;FLI1;126733;FLI1
NM_002018;chr17;-;18148130;18162230;30;FLII;14100;FLII
NR_026891;chr15;-;50641134;50647076;1;FLJ10038;5942;FLJ10038
NR_026655;chr12;+;54452037;54516018;2;FLJ12825;63981;FLJ12825
NR_026804;chr4;-;38614321;38666249;8;FLJ13197;51928;FLJ13197
NR_026806;chr12;+;31477249;31478879;1;FLJ13224;1630;FLJ13224
NR_046113;chr5;-;174346084;174422734;3;FLJ16171;76650;FLJ16171
NR_024389;chr20;+;61885329;61892967;1;FLJ16779;7638;FLJ16779
NR_033874;chr4;+;102268933;102270040;2;FLJ20021;1107;FLJ20021
NR_037925;chr3;+;75713480;75716368;4;FLJ20518;2888;FLJ20518
NR_037184;chr16;+;27279525;27301789;5;FLJ21408;22264;FLJ21408
NM_001190467;chr19;-;7933604;7939326;6;FLJ22184;5722;FLJ22184
NR_039985;chr14;+;62037257;62121431;3;FLJ22447;84174;FLJ22447
NR_033977;chr3;+;108855560;108868951;3;FLJ22763;13391;FLJ22763
NR_026900;chr1;+;180167143;180169859;1;FLJ23867;2716;FLJ23867
NR_024372;chr19;-;7004963;7006426;1;FLJ25758;1463;FLJ25758
NR_033985;chr16;+;34980922;34990995;3;FLJ26245;10073;FLJ26245
NR_027257;chr19;+;50553936;50570052;3;FLJ26850;16116;FLJ26850
NR_033981;chr1;-;90090407;90098453;3;FLJ27354;8046;FLJ27354
NR_034159;chr19;-;52095035;52097633;2;FLJ30403;2598;FLJ30403
NR_026674;chr16;+;86588925;86590905;1;FLJ30679;1980;FLJ30679
NR_102755;chr5;+;55290994;55299475;2;FLJ31104;8481;FLJ31104
NR_029435;chr14;-;58732082;58764855;4;FLJ31306;32773;FLJ31306
NR_103831;chr2;-;28607275;28617539;2;FLJ31356;10264;FLJ31356
NR_033966;chr1;+;95940292;95944912;4;FLJ31662;4620;FLJ31662
